aab | arrabury airport | tanbar | brisbane
crd | general e. mosconi international airport | comodoro rivadavia | argentina
cre | grand strand airport | north myrtle beach | new york
cri | crooked island airport |  | nassau
crl | charleroi brussels south airport | charleroi | brussels
crm | national airport | bobon | manila
crp | corpus christi international airport |  | chicago
crw | yeager airport | charleston | new york
csg | columbus airport |  | new york
csx | changsha huanghua airport |  | shanghai
csy | cheboksary airport | cheboksary | moscow
cta | catania-fontanarossa airport | catania | rome
ctc | catamarca airport | san fernando del valle de catamarca | argentina
ctf | coatepeque airport | nuevo progreso | guatemala
ctg | rafael nunez international airport | cartagena | bogota
ctl | charleville airport |  | brisbane
ctm | chetumal airport | chetumal | cancun
ctn | cooktown airport |  | brisbane
cts | new chitose airport | chitose | tokyo
ctu | chengdu shuangliu international airport | dongsheng | shanghai
ctv | catoca airport | saurimo | luanda
cua | ciudad constitución airport |  | mazatlan
cuc | camilo daza international airport | cucuta | bogota
cue | mariscal lamar international airport | cuenca | guayaquil
cuf | levaldigi airport | centallo | rome
cul | culiacan international airport | el diez | mazatlan
cun | cancun international airport | alfredo v. bonfil | cancun
cur | curacao international airport | sint michiel liber | curacao
cuu | gen fierro villalobos airport | ninguno [cereso] | chihuahua
cuz | alejandro velasco astete international airport | cusco | lima
cvg | cincinnati/northern kentucky airport | hebron | new york
cvj | general mariano matamoros airport | cuernavaca | mexico city
cvm | ciudad victoria airport | ciudad victoria | monterrey
cvn | clovis municipal airport | texico | denver
cvq | carnarvon airport |  | perth
cvt | coventry airport | ryton on dunsmore | london
cvu | corvo island (azores) airport |  | azores
cwa | central wisconsin airport | mosinee | chicago
cwb | afonso pena international airport | sao jose dos pinhais | sao paulo
cwc | chernivtsi international airport | chernivtsi | kiev
cwj | cangyuan washan airport | mengdong | chongqing
cwk | chitrakoot airport |  | kolkata
cwl | cardiff airport | rhoose | london
cwx | cochise county airport | willcox | phoenix
cxb | coxs bazar airport | cox's bazar | dhaka
cxc | chitina airport |  | anchorage
cxi | christmas island airport | london village | kiritimati
cxj | hugo cantergiani regional airport | caxias do sul | sao paulo
cxr | cam ranh international airport | cam lam | ho chi minh
cyb | charles kirkconnel international airport |  | cayman
cyi | chiayi airport | taibao | taipei
cyo | cayo largo del sur airport | jaguey grande | havana
cyp | calbayog airport | sabang | manila
cyx | cherskiy airport | cherskiy | srednekolymsk
cyz | cauayan airport | cauayan | manila
czl | ain el bey airport | constantine | algiers
czm | cozumel airport | san miguel de cozumel | cancun
czr | chara kyust-kemda airport |  | chita
czs | campo internacional airport | cruzeiro do sul | rio branco
czu | corozal airport | morroa | bogota
czx | changzhou airport | luoxi | shanghai
dab | daytona beach international airport | daytona beach | new york
dac | hazrat shahjalal international airport | tungi | dhaka
dad | da nang international airport | thanh khe | ho chi minh
dam | damascus international airport | harran al `awamid | damascus
dar | julius nyerere international airport | dar es salaam | dar es salaam
dat | datong airport | beijiazao | shanghai
dau | daru airport |  | port moresby
dav | enrique malek airport | pedregal | panama
dax | dazhou heshi airport | xiwai | shanghai
day | james m. cox dayton international airport | vandalia | new york
dbo | dubbo city regional airport | dubbo | sydney
dbq | dubuque municipal airport | dubuque | chicago
dbr | darbhanga airport | darbhanga | kolkata
dbv | dubrovnik airport | jasenice | zagreb
dca | ronald reagan national airport |  | new york
dcf | canefield airport |  | dominica
dck | dahl creek airport |  | anchorage
dcm | mazamet airport | lagarrigue | paris
dcy | daocheng yading airport | sangpi | shanghai
ddc | dodge city municipal airport | dodge city | chicago
ddd | dhaalu airport | kudahuvadhoo | maldives
ddg | langtou airport |  | shanghai
ddr | shigatse tingri airport | xigaze | shanghai
dea | dera ghazi khan airport |  | karachi
deb | debrecen airport | debrecen | budapest
dec | decatur airport | long creek | chicago
ded | dehra dun airport | dehradun | kolkata
dee | mendeleyevo airport | yuzhno-kurilsk | sakhalin
def | dezful airport | andimeshk | tehran
del | indira gandhi international airport | gurgaon | kolkata
den | denver international airport | lochbuie | denver
deq | deqing moganshan airport | leidian | shanghai
dex | nop goliat airport |  | jakarta
dfa | danfeng airport | yaoshi | shanghai
dfw | dallas/fort worth international airport | grapevine | chicago
dgh | deoghar international airport | deoghar | kolkata
dgo | guadalupe victoria airport | jose refugio salcido | monterrey
dgt | dumaguete airport | dumaguete | manila
dhf | al dhafra military airport |  | dubai
dhm | gaggal airport | dharmsala | kolkata
dhn | dothan regional airport | midland city | chicago
dhr | de kooy/den helder airport | den helder | amsterdam
dhx | dhoho international airport |  | jakarta
dia | doha international airport | doha | qatar
dib | dibrugarh airport | dibrugarh | kolkata
dig | diqing shangri-la airport | shangri-la | shanghai
dik | dickinson regional airport | dickinson | boise
dil | comoro airport | dili | dili
